horizon,samples,accuracy,balanced_accuracy,calibration_error,event_samples,event_auc,event_calibration_error,tradeability_auc,tradeability_calibration_error,selected_trades,mean_net_return,hit_rate,positive_fold_fraction
1h,3595,0.5073713490959666,0.5076241546342294,0.01010436340127972,437,0.5086580998525385,0.09159741702561086,0.5183596610524113,0.20062986578500375,0,0.0,0.0,0.0
2h,3595,0.5115438108484005,0.511605683168084,0.007097572639442031,437,0.51038550663577,0.03433186725141391,0.5174677664012135,0.16136194806771645,0,0.0,0.0,0.0
3h,3595,0.5184979137691238,0.5174527699928386,0.019988477197906022,437,0.5368538945944803,0.07624185992176309,0.5061597472924187,0.12730104970052009,0,0.0,0.0,0.0
