horizon,samples,accuracy,auc,return_mae,long_events,long_success_auc,long_tradeability_auc,long_selected,long_hit_rate,long_mean_net_return,long_positive_fold_fraction,short_events,short_success_auc,short_tradeability_auc,short_selected,short_hit_rate,short_mean_net_return,short_positive_fold_fraction
1h,69332,0.5339093059481913,0.5433764150315049,0.003977033194085348,0,0.5,0.5,0,0.0,0.0,0.0,0,0.5,0.5,0,0.0,0.0,0.0
3h,69300,0.5314430014430015,0.5419540294012162,0.006942607069456433,6624,0.5572416173110308,0.5673532261382745,251,0.41434262948207173,-0.00023891349766754438,0.16666666666666666,5718,0.5444627254191077,0.5481031355835104,50,0.42,0.0004767731351573784,0.16666666666666666
6h,69256,0.5266836086404066,0.5349463958170634,0.009969338463855556,6618,0.5567996017212553,0.5610166134223483,192,0.4895833333333333,0.001368339204121851,0.3333333333333333,5712,0.5474467325853296,0.547542820305324,68,0.4411764705882353,0.0019995750134325285,0.6666666666666666
12h,69164,0.5147186397547857,0.5164742519863089,0.014573111871603086,6612,0.6057616006580746,0.6055463961138836,245,0.39591836734693875,0.001101298011465375,0.8333333333333334,5706,0.563797936565455,0.563797936565455,19,0.2631578947368421,-0.0015727549373009174,0.3333333333333333
