2026-08-11 12:51:27,304 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-05-06T08%3A00%3A00%2B00%3A00&end=2017-05-18T10%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:27,530 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-05-18T10%3A00%3A00%2B00%3A00&end=2017-05-30T12%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:27,743 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-05-30T12%3A00%3A00%2B00%3A00&end=2017-06-11T14%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:27,960 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-06-11T14%3A00%3A00%2B00%3A00&end=2017-06-23T16%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:28,172 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-06-23T16%3A00%3A00%2B00%3A00&end=2017-07-05T18%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:28,410 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-07-05T18%3A00%3A00%2B00%3A00&end=2017-07-17T20%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:28,618 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-07-17T20%3A00%3A00%2B00%3A00&end=2017-07-29T22%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:28,844 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-07-29T22%3A00%3A00%2B00%3A00&end=2017-08-11T00%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:29,053 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-08-11T00%3A00%3A00%2B00%3A00&end=2017-08-23T02%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:29,267 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-08-23T02%3A00%3A00%2B00%3A00&end=2017-09-04T04%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:29,479 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-09-04T04%3A00%3A00%2B00%3A00&end=2017-09-16T06%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:29,695 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-09-16T06%3A00%3A00%2B00%3A00&end=2017-09-28T08%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:29,906 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-09-28T08%3A00%3A00%2B00%3A00&end=2017-10-10T10%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:30,114 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-10-10T10%3A00%3A00%2B00%3A00&end=2017-10-22T12%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:30,323 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-10-22T12%3A00%3A00%2B00%3A00&end=2017-11-03T14%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:30,571 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-11-03T14%3A00%3A00%2B00%3A00&end=2017-11-15T16%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:30,830 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-11-15T16%3A00%3A00%2B00%3A00&end=2017-11-27T18%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:31,044 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-11-27T18%3A00%3A00%2B00%3A00&end=2017-12-09T20%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:31,375 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-12-09T20%3A00%3A00%2B00%3A00&end=2017-12-21T22%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:31,642 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-12-21T22%3A00%3A00%2B00%3A00&end=2018-01-03T00%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:31,851 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-01-03T00%3A00%3A00%2B00%3A00&end=2018-01-15T02%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:32,072 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-01-15T02%3A00%3A00%2B00%3A00&end=2018-01-27T04%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:32,283 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-01-27T04%3A00%3A00%2B00%3A00&end=2018-02-08T06%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:32,493 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-02-08T06%3A00%3A00%2B00%3A00&end=2018-02-20T08%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:32,741 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-02-20T08%3A00%3A00%2B00%3A00&end=2018-03-04T10%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:33,069 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-03-04T10%3A00%3A00%2B00%3A00&end=2018-03-16T12%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:33,282 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-03-16T12%3A00%3A00%2B00%3A00&end=2018-03-28T14%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:33,494 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-03-28T14%3A00%3A00%2B00%3A00&end=2018-04-09T16%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:33,713 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-04-09T16%3A00%3A00%2B00%3A00&end=2018-04-21T18%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:33,936 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-04-21T18%3A00%3A00%2B00%3A00&end=2018-05-03T20%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:34,189 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-05-03T20%3A00%3A00%2B00%3A00&end=2018-05-15T22%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:34,436 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-05-15T22%3A00%3A00%2B00%3A00&end=2018-05-28T00%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
